parent_station,stop_lon,stop_id,stop_name,stop_lat,location_type
,38.7715088,node/7041071737,Eyesus,9.0649811,0
,38.7680987,node/7041071738,Hamle 19,9.0585516,0
,38.7607205,node/7041071740,Selassie,9.0692162,0
,38.7590628,node/7041071741,Sanba Nekersa-Shiromeda,9.0745256,0
,38.7572536,node/7041071742,Kuskoam,9.0777328,0
,38.7374397,node/7041071749,Dil Ber,9.0710894,0
,38.7204079,node/7041071753,Anbessa Garage (Shegole),9.0638294,0
,38.7182194,node/7041071754,Kebt Beret,9.0691617,0
,38.7230011,node/7041071755,Entoto Kela,9.0843712,0
,38.7095299,node/7041071758,Weserbi Realestate,9.1051152,0
,38.7147037,node/7041071759,Classy Water,9.1095355,0
,38.7158285,node/7041071760,Medret Hotel,9.1100449,0
,38.7300979,node/7041071761,Kburea,9.1176074,0
,38.7304557,node/7041071762,Kenenisa,9.1179357,0
,38.7395293,node/7041071763,Shefunea,9.1273122,0
,38.7397834,node/7041071764,Shefine,9.1277902,0
,38.7522344,node/7041071772,Doro Erbata,9.1339361,0
,38.7524529,node/7041071773,Abo Gabriel,9.1341343,0
,38.7549356,node/7041071774,Tulu Fati,9.1408321,0
,38.7538733,node/7041071775,Ashewa,9.1449015,0
,38.7542489,node/7041071776,Tabya Hotel,9.1560016,0
,38.738359,node/7047495429,Sar Bet (Roundabout),8.9929589,0
,38.6600221,node/7047495432,United Bank (Ashewa Meda),9.0286142,0
,38.7346499,node/7047495433,Sefera,8.9208064,0
,38.744323,node/7049122264,Lafto,8.9473774,0
,38.7440895,node/7049122265,Hana Mariam (2),8.935835,0
,38.7345586,node/7049122266,Haile Garment,8.9387647,0
,38.8779866,node/7049921444,Yekiber Demena Church,9.0304285,0
,38.8024339,node/7049921445,Megenagna Terminal,9.0204726,0
,38.8759579,node/7049921447,Hill Bottom (Recreation),9.0220882,0
,38.8775474,node/7049921448,Zone 8,9.0304125,0
,38.8779122,node/7049921449,Aba Kiros (Tafo) Roundabout,9.0570656,0
,38.8790275,node/7050234123,Tafo Junction,9.0566049,0
,38.8021323,node/7050327664,Megenagna Terminal,9.020626,0
,38.7617178,node/7054842410,6 Kilo,9.0476858,0
,38.7617169,node/7054842414,6 Kilo,9.0476498,0
,38.7532161,node/7055060064,Legehar (Old Train Station),9.0106346,0
,38.8546711,node/7055598734,Kotebe Gebriel,9.0359897,0
,38.8299268,node/7055598736,Ahmed Building,9.0269686,0
,38.7579049,node/7055598738,St. Mary Church,9.0363488,0
,38.7535483,node/7055598739,Piassa Arada,9.0335541,0
,38.7534018,node/7055598742,Piassa Arada,9.0327818,0
,38.7579442,node/7055598743,St. Mary Church,9.0363807,0
,38.8307544,node/7055598744,NOC End,9.0274541,0
,38.8467717,node/7056754511,Kotebe Teachers College,9.0341209,0
,38.8732637,node/7056754514,Meskelegna (Ababdo),9.0630764,0
,38.8022361,node/7056754516,Megenagna,9.020907,0
,38.779674,node/7057002158,Atlas,9.0041945,0
,38.7528717,node/7057002161,Piassa Arada,9.0329242,0
